"Rk,Player,SCA,SCA90,PassLive,PassDead,Drib,Sh,GCA,GCA90,PassLive,PassDead,Drib,Sh"
"151,Fabinho\7f3b388c,23,0.81,20,0,0,0,4,0.14,3,0,0,0"
"152,Bruno Fernandes\507c7bdf,168,4.88,121,22,4,10,27,0.78,23,2,0,2"
"153,Federico Fernández\f25b010f,11,0.48,9,2,0,0,0,0.00,0,0,0,0"
"154,Fernandinho\101da2b5,29,2.20,21,0,3,0,3,0.23,2,0,0,0"
"155,Sam Field\bd8a7d05,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"156,Roberto Firmino\4c370d81,107,3.39,80,0,12,9,9,0.29,8,0,0,1"
"157,John Fleck\b63e789d,66,2.31,46,13,3,2,3,0.10,2,1,0,0"
"158,Phil Foden\ed1e53f3,67,3.73,43,8,9,4,14,0.78,9,0,1,3"
"159,Wesley Fofana\132a82f1,18,0.72,14,0,0,1,1,0.04,0,0,0,0"
"160,Pablo Fornals\82927de4,71,2.48,59,1,1,5,12,0.42,7,1,0,3"
"161,Fraser Forster\c3e39f12,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"162,Timothy Fosu-Mensah\a9142dc3,4,4.50,4,0,0,0,0,0.00,0,0,0,0"
"163,Tyrese Francois\6722d4f0,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"164,Ryan Fraser\d56543a0,38,3.69,23,13,0,1,4,0.39,2,1,0,0"
"165,Fred\b853e0ad,67,2.52,58,1,2,1,5,0.19,4,0,0,0"
"166,Ryan Fredericks\c067631c,21,3.32,16,0,1,1,1,0.16,1,0,0,0"
"167,Christian Fuchs\a67a09fb,3,0.38,3,0,0,0,0,0.00,0,0,0,0"
"168,Darnell Furlong\3ec9195b,34,1.04,24,5,0,3,3,0.09,3,0,0,0"
"169,Conor Gallagher\c2731c10,41,1.46,24,7,3,1,3,0.11,2,1,0,0"
"170,Eric García\2bed3eab,4,0.94,3,0,0,0,0,0.00,0,0,0,0"
"171,Dwight Gayle\e58a03c6,13,2.28,8,2,0,2,1,0.18,1,0,0,0"
"172,Jean-Philippe Gbamin\6bd603db,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"173,David de Gea\7ba6d84e,2,0.08,1,1,0,0,1,0.04,1,0,0,0"
"174,Anwar El Ghazi\ffa90327,55,3.07,30,9,4,6,1,0.06,0,0,0,1"
"175,Kieran Gibbs\46ee5234,4,0.44,4,0,0,0,1,0.11,1,0,0,0"
"176,Morgan Gibbs-White\32f60ed8,17,3.70,12,2,0,0,1,0.22,0,0,0,0"
"177,Billy Gilmour\df10e27c,4,1.38,4,0,0,0,0,0.00,0,0,0,0"
"178,Olivier Giroud\16ceb862,15,1.80,12,0,0,2,0,0.00,0,0,0,0"
"179,Ben Godfrey\9f7c837d,10,0.34,7,0,0,2,2,0.07,1,0,0,1"
"180,André Gomes\1961b2aa,35,2.01,31,2,1,0,2,0.11,2,0,0,0"
"181,Joe Gomez\7a11550b,2,0.31,2,0,0,0,0,0.00,0,0,0,0"
"182,Anthony Gordon\2bd83368,1,1.02,1,0,0,0,0,0.00,0,0,0,0"
"183,Karlan Grant\87f7500e,11,0.88,7,1,1,1,1,0.08,1,0,0,0"
"184,Demarai Gray\4468ec10,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"185,Jack Grealish\b0b4fd3e,150,6.18,114,14,8,2,21,0.86,17,0,0,0"
"186,Mason Greenwood\58eee997,50,2.47,29,1,8,7,5,0.25,3,0,2,0"
"187,Pascal Groß\8aec0537,110,3.99,63,40,0,4,9,0.33,6,3,0,0"
"188,Kamil Grosicki\81d8091f,5,3.04,4,0,0,1,2,1.22,2,0,0,0"
"189,Vicente Guaita\ab13a5aa,2,0.05,1,1,0,0,0,0.00,0,0,0,0"
"190,?lkay Gündo?an\819b3158,82,3.64,61,4,8,5,10,0.44,3,1,3,1"
