"Rk,Player,Cmp%,TotDist,PrgDist,Cmp%,Cmp%,Cmp%,KP,1/3,PPA,CrsPA,Prog"
"143,Kyle Edwards\1566e437,85.7,420,91,100.0,92.3,0.0,0,3,0,0,3"
"144,John Egan\debe38a0,84.6,21851,6700,91.3,91.3,69.4,3,81,7,1,58"
"145,Anthony Elanga\2fba6108,81.1,672,121,89.3,84.6,83.3,1,4,0,0,2"
"146,Ahmed Elmohamady\615ef733,78.1,8878,3641,91.9,77.8,58.4,13,36,26,8,48"
"147,Mohamed Elneny\47a34c4f,93.4,18475,3672,95.2,96.2,86.6,4,77,9,0,60"
"148,Jonny Evans\f8fcd2a5,87.5,33869,10330,92.3,94.2,68.9,8,92,3,0,63"
"149,Eberechi Eze\ae4fc6a4,79.3,14737,4359,89.2,82.5,48.9,39,77,32,3,111"
"150,?ukasz Fabia?ski\9328b835,60.5,24399,17382,98.2,97.9,48.2,0,19,0,0,0"
"151,Fabinho\7f3b388c,91.1,38166,9896,93.7,94.7,77.7,3,110,16,1,102"
"152,Bruno Fernandes\507c7bdf,74.6,32546,9338,85.7,79.8,57.2,94,177,96,8,227"
"153,Federico Fernández\f25b010f,80.2,14632,4358,86.4,88.9,62.7,5,19,3,2,19"
"154,Fernandinho\101da2b5,87.7,16840,4565,91.4,90.8,73.6,12,135,17,2,96"
"155,Sam Field\bd8a7d05,65.2,223,41,71.4,80.0,33.3,0,1,0,0,2"
"156,Roberto Firmino\4c370d81,79.7,15705,3943,85.5,80.5,70.3,46,85,43,0,134"
"157,John Fleck\b63e789d,78.0,15645,4958,91.0,82.0,46.0,34,113,25,4,103"
"158,Phil Foden\ed1e53f3,82.0,10452,2218,90.7,83.9,48.3,34,40,24,2,60"
"159,Wesley Fofana\132a82f1,88.2,31056,8308,91.6,92.5,75.7,6,112,1,0,78"
"160,Pablo Fornals\82927de4,77.3,14075,4100,87.0,78.0,58.2,30,72,32,5,108"
"161,Fraser Forster\c3e39f12,56.2,4532,2980,100.0,93.2,32.5,0,1,0,0,0"
"162,Timothy Fosu-Mensah\a9142dc3,86.7,1070,258,88.2,94.1,50.0,2,4,1,1,1"
"163,Tyrese Francois\6722d4f0,93.3,211,88,88.9,100.0,,0,0,0,0,3"
"164,Ryan Fraser\d56543a0,65.9,4220,1330,86.2,71.4,35.2,25,7,10,9,17"
"165,Fred\b853e0ad,88.2,30912,7561,91.2,92.5,81.7,24,174,18,0,149"
"166,Ryan Fredericks\c067631c,72.8,2971,1082,85.7,70.1,32.0,13,9,13,7,15"
"167,Christian Fuchs\a67a09fb,81.2,9088,3503,89.1,85.2,59.1,1,42,2,1,33"
"168,Darnell Furlong\3ec9195b,59.5,13398,6065,78.0,60.7,37.5,17,59,18,14,78"
"169,Conor Gallagher\c2731c10,77.9,13360,3015,84.3,88.5,54.8,18,76,15,2,54"
"170,Eric García\2bed3eab,93.6,6792,1869,94.9,97.7,81.8,2,29,0,0,16"
"171,Dwight Gayle\e58a03c6,79.8,1216,156,88.4,80.0,33.3,6,0,2,0,3"
"172,Jean-Philippe Gbamin\6bd603db,66.7,122,36,75.0,66.7,100.0,0,1,0,0,1"
"173,David de Gea\7ba6d84e,77.1,12242,7361,99.2,96.3,53.6,0,4,0,0,0"
"174,Anwar El Ghazi\ffa90327,70.5,6996,1939,82.3,73.4,48.1,24,27,18,10,39"
"175,Kieran Gibbs\46ee5234,72.2,3929,1436,88.8,73.5,38.9,3,15,3,3,16"
"176,Morgan Gibbs-White\32f60ed8,80.9,3219,704,84.8,87.3,62.9,9,16,3,0,22"
"177,Billy Gilmour\df10e27c,89.3,3746,531,95.0,89.7,77.8,3,15,1,0,9"
"178,Olivier Giroud\16ceb862,74.2,2002,251,76.6,70.7,100.0,7,7,1,0,7"
"179,Ben Godfrey\9f7c837d,84.6,21710,5735,88.3,91.1,67.0,1,58,5,2,51"
"180,André Gomes\1961b2aa,83.2,14845,3523,87.5,87.3,70.6,15,82,13,2,80"
"181,Joe Gomez\7a11550b,90.2,11406,3067,93.4,93.9,80.5,1,30,0,0,38"
"182,Anthony Gordon\2bd83368,84.6,365,94,92.3,100.0,50.0,1,1,2,0,3"
