"Rk,Player,Pos,MP,Starts,Min,90s,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xA,npxG+xA"
"127,Grady Diangana\f522d7ec,MFFW,20,15,1235,13.7,0,1,0,0,0,1.2,1.2,0.2,1.4"
"128,Raphael Dias Belloli\3423f250,MF,30,26,2360,26.2,9,6,0,3,0,6.0,6.0,8.1,14.1"
"129,Rúben Dias\31c69ef1,DF,32,32,2843,31.6,0,1,0,4,0,2.4,2.4,0.1,2.4"
"130,Eric Dier\ac861941,DF,28,28,2520,28.0,0,0,0,3,0,0.9,0.9,0.1,1.0"
"131,Lucas Digne\1b84dbe1,DF,30,30,2681,29.8,7,0,0,2,1,0.6,0.6,5.4,6.0"
"132,Virgil van Dijk\e06683ca,DF,5,5,370,4.1,0,1,0,1,0,0.3,0.3,0.0,0.3"
"133,Issa Diop\a712ca2b,DF,18,15,1381,15.3,0,2,0,3,0,0.3,0.3,0.0,0.3"
"134,Moussa Djenepo\254147d4,MF,27,15,1240,13.8,0,1,0,5,0,0.9,0.9,0.6,1.5"
"135,Matt Doherty\d557d734,DF,17,13,1240,13.8,2,0,0,4,1,0.4,0.4,0.8,1.2"
"136,Gabriel Dos Santos\67ac5bb8,DF,23,22,1996,22.2,0,2,0,4,1,1.0,1.0,0.1,1.1"
"137,Abdoulaye Doucouré\02b29014,MF,29,29,2443,27.1,3,2,0,6,0,2.1,2.1,2.2,4.3"
"138,Martin Dúbravka\3a949a25,GK,13,13,1170,13.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"139,Paul Dummett\3fe6bd8c,DF,15,14,1255,13.9,0,1,0,2,0,0.3,0.3,0.5,0.8"
"140,Lewis Dunk\282f75f3,DF,33,33,2931,32.6,0,5,0,5,2,2.5,2.5,0.9,3.4"
"141,Jimmy Dunne\1fdfd6da,DF,3,3,270,3.0,0,1,0,1,0,0.4,0.4,0.1,0.5"
"142,Ederson\3bb7b8b4,GK,36,36,3240,36.0,1,0,0,3,0,0.0,0.0,0.4,0.4"
"143,Kyle Edwards\1566e437,MFFW,5,1,118,1.3,0,0,0,0,0,0.1,0.1,0.0,0.1"
"144,John Egan\debe38a0,DF,31,30,2629,29.2,1,0,0,7,1,0.7,0.7,0.3,1.0"
"145,Anthony Elanga\2fba6108,FW,2,2,155,1.7,0,1,0,0,0,0.3,0.3,0.0,0.3"
