"Rk,Player,Att 3rd,Att Pen,Succ,Att,Succ%,#Pl,Megs,PrgDist,Prog,1/3,CPA,Mis,Dis"
"225,Raúl Jiménez\b561db50,164,41,11,23,47.8,14,0,724,43,13,6,21,19"
"226,Joelinton\c17bfb65,371,85,39,69,56.5,41,5,1427,81,21,16,72,51"
"227,Ben Johnson\9319781b,96,4,6,9,66.7,7,0,620,29,8,1,3,8"
"228,Sam Johnstone\9e5708be,0,0,0,0,,0,0,1977,0,0,0,0,0"
"229,Curtis Jones\4fb9c88f,409,30,15,29,51.7,17,0,2420,131,44,9,14,27"
"230,Jorginho\45db685d,303,18,18,25,72.0,20,0,2889,102,28,2,11,18"
"231,Willian José\d87e2cae,155,38,9,11,81.8,9,1,319,13,11,0,24,15"
"232,Diogo Jota\178ae8f8,352,96,26,46,56.5,29,3,1734,87,28,20,30,27"
"233,James Justin\fb614c44,490,43,20,34,58.8,21,1,2450,113,46,4,24,25"
"234,Ozan Kabak\2d61d13a,11,5,5,8,62.5,5,0,999,24,1,0,0,2"
"235,Aboubakar Kamara\4047c976,93,5,4,8,50.0,4,1,334,19,6,0,13,9"
"236,Harry Kane\21a66f6a,616,166,46,79,58.2,47,8,2537,150,53,26,61,71"
"237,N'Golo Kanté\b9fbae28,372,17,29,38,76.3,29,1,2999,112,38,4,26,27"
"238,Moise Kean\3d50bcdb,8,4,0,3,0.0,0,0,56,2,1,1,1,0"
"239,Michael Keane\c5b7c315,64,36,4,8,50.0,5,0,4400,85,7,1,3,8"
"240,Neeskens Kebano\18b999f4,43,4,3,6,50.0,3,0,151,7,3,1,4,4"
"241,Naby Keïta\f25c8e3a,132,18,12,15,80.0,13,0,837,50,17,2,10,12"
"242,Caoimhín Kelleher\62d7ef38,0,0,0,0,,0,0,27,0,0,0,0,0"
"243,Martin Kelly\d7492450,0,0,0,0,,0,0,0,0,0,0,0,0"
"244,Jonjoe Kenny\099e666f,36,4,0,1,0.0,0,0,63,2,1,0,1,0"
"245,Reda Khadra\88acf83f,1,1,0,0,,0,0,36,1,0,1,0,0"
"246,Max Kilman\d0f72bf1,39,10,3,4,75.0,3,0,1569,36,7,0,3,3"
"247,Joshua King\43458538,42,6,5,9,55.6,6,0,240,14,5,1,5,11"
"248,Mateusz Klich\282679b4,685,73,13,24,54.2,16,3,2941,145,65,4,30,27"
"249,Robin Koch\ea6bc03a,51,11,2,2,100.0,2,0,1986,35,7,0,1,5"
"250,Sead Kolašinac\3935e52e,18,1,0,0,,0,0,113,5,1,0,1,0"
"251,Terence Kongolo\1f9a3a04,2,1,0,0,,0,0,32,1,0,0,0,0"
"252,Ezri Konsa\0313a347,76,31,6,10,60.0,6,0,1382,22,3,0,5,5"
"253,Cheikhou Kouyaté\8d3c902d,71,28,6,9,66.7,6,0,1592,28,3,0,4,11"
"254,Mateo Kova?i?\79c0821a,417,17,44,54,81.5,44,1,4242,193,58,4,20,30"
"255,Emil Krafth\77cf6852,136,9,2,6,33.3,3,0,821,37,11,2,2,4"
"256,Filip Krovinovi?\c2dfedeb,119,5,8,9,88.9,8,0,923,44,13,2,7,8"
"257,Alexandre Lacazette\9dbb75ca,350,102,20,33,60.6,22,1,665,37,10,6,33,32"
