"Rk,Player,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK"
"31,Kepa Arrizabalaga\28d596a0,0,0,,0.00,0.00,,,0"
"32,Pierre-Emerick Aubameyang\d5dd5f1f,56,19,33.9,2.16,0.73,0.14,0.42,0"
"33,Serge Aurier\5c2b4f07,14,6,42.9,0.79,0.34,0.14,0.33,0"
"34,Charlie Austin\8d228291,3,0,0.0,1.96,0.00,0.00,,0"
"35,Jordan Ayew\da052c14,25,11,44.0,1.07,0.47,0.04,0.09,0"
"36,Luke Ayling\420d7c7d,25,6,24.0,0.66,0.16,0.00,0.00,0"
"37,César Azpilicueta\53cad200,11,4,36.4,0.45,0.16,0.09,0.25,0"
"38,Eric Bailly\a1232f4e,2,0,0.0,0.20,0.00,0.00,,0"
"39,Fabián Balbuena\3626f7d9,8,2,25.0,0.60,0.15,0.13,0.50,0"
"40,George Baldock\394854c4,13,2,15.4,0.42,0.06,0.00,0.00,0"
"41,Gareth Bale\a58bb1e1,38,19,50.0,3.72,1.86,0.29,0.58,7"
"42,Patrick Bamford\93feac6e,105,45,42.9,3.10,1.33,0.14,0.33,0"
"43,Phil Bardsley\1ae30132,4,0,0.0,1.31,0.00,0.00,,0"
"44,Ross Barkley\3a24769f,38,11,28.9,2.23,0.65,0.08,0.27,2"
"45,Ross Barkley\3a24769f,1,1,100.0,2.14,2.14,0.00,0.00,0"
"46,Ashley Barnes\2691c772,39,12,30.8,2.64,0.81,0.05,0.17,0"
"47,Harvey Barnes\3ea50f67,55,25,45.5,2.54,1.16,0.16,0.36,0"
"48,Kyle Bartley\18e96f64,14,5,35.7,0.49,0.17,0.21,0.60,0"
"49,Chris Basham\1aa84968,10,1,10.0,0.35,0.03,0.00,0.00,0"
"50,Michy Batshuayi\2973d8ff,12,6,50.0,1.48,0.74,0.17,0.33,0"
"51,Jan Bednarek\4115ce4e,10,5,50.0,0.29,0.15,0.10,0.20,0"
"52,Donny van de Beek\50dc94ce,2,1,50.0,0.34,0.17,0.50,1.00,0"
"53,Héctor Bellerín\f874dd44,15,5,33.3,0.65,0.22,0.07,0.20,0"
"54,Saïd Benrahma\5a04fd92,35,11,31.4,2.26,0.71,0.03,0.09,1"
"55,Josh Benson\bf3aeb61,2,0,0.0,0.68,0.00,0.00,,1"
"56,Christian Benteke\ab070c55,71,33,46.5,3.52,1.64,0.14,0.30,0"
"57,Gaetano Berardi\5348aada,1,0,0.0,0.80,0.00,0.00,,0"
"58,Jóhann Berg Guðmundsson\f72293fc,19,8,42.1,1.25,0.53,0.11,0.25,1"
"59,Sander Berge\d0b6129f,9,1,11.1,0.72,0.08,0.00,0.00,0"
"60,Steven Bergwijn\a29b1131,15,5,33.3,1.12,0.37,0.07,0.20,0"
"61,Bernard\ab4b3e35,6,2,33.3,1.19,0.40,0.17,0.50,0"
"62,Bernardo\17370b95,4,0,0.0,1.75,0.00,0.00,,0"
"63,Ryan Bertrand\01226327,8,3,37.5,0.28,0.10,0.00,0.00,0"
"64,Yves Bissouma\6c203af0,42,3,7.1,1.22,0.09,0.02,0.33,2"
"65,Jayden Bogle\ae5019e6,17,7,41.2,1.38,0.57,0.12,0.29,0"
"66,Willy Boly\a4ac4b8f,14,3,21.4,0.67,0.14,0.07,0.33,0"
